date,feature,feature_group,bucket,p_up,p_down,count,p_up_minus_down,p_flat
2024-04-01,qi_1,primary,10,0.864994282447,0.135005717553,83952,0.729988564894,
2024-04-01,di_10,secondary,1,0.115648218165,0.884351781835,83313,-0.76870356367,
2024-04-01,di_10,secondary,2,0.223964635863,0.776035364137,80986,-0.552070728274,
2024-04-01,di_10,secondary,3,0.294517812118,0.705482187882,80114,-0.410964375765,
2024-04-01,di_10,secondary,4,0.36762875073,0.63237124927,78718,-0.264742498539,
2024-04-01,di_10,secondary,5,0.423419423584,0.576580576416,78832,-0.153161152831,
2024-04-01,di_10,secondary,6,0.519220322322,0.480779677678,77314,0.0384406446439,
2024-04-01,di_10,secondary,7,0.585394507466,0.414605492534,79162,0.170789014931,
2024-04-01,di_10,secondary,8,0.658347461853,0.341652538147,80216,0.316694923706,
2024-04-01,di_10,secondary,9,0.749265745676,0.250734254324,82737,0.498531491352,
2024-04-01,di_10,secondary,10,0.852032229185,0.147967770815,83775,0.704064458371,
2024-04-01,di_5,secondary,1,0.112148638793,0.887851361207,83639,-0.775702722414,
2024-04-01,di_5,secondary,2,0.216337367251,0.783662632749,80980,-0.567325265498,
2024-04-01,di_5,secondary,3,0.295110179954,0.704889820046,80187,-0.409779640091,
2024-04-01,di_5,secondary,4,0.370676519884,0.629323480116,78756,-0.258646960232,
2024-04-01,di_5,secondary,5,0.4278048967,0.5721951033,78461,-0.144390206599,
2024-04-01,di_5,secondary,6,0.519802044165,0.480197955835,77391,0.0396040883307,
2024-04-01,di_5,secondary,7,0.577807865567,0.422192134433,79028,0.155615731133,
2024-04-01,di_5,secondary,8,0.655539302102,0.344460697898,79983,0.311078604203,
2024-04-01,di_5,secondary,9,0.75460661716,0.24539338284,83087,0.509213234321,
2024-04-01,di_5,secondary,10,0.86077341462,0.13922658538,83655,0.721546829239,
2024-04-01,ofi_100ms,secondary,1,0.285535460951,0.714464539049,83881,-0.428929078099,
2024-04-01,ofi_100ms,secondary,2,0.408799544392,0.591200455608,82527,-0.182400911217,
2024-04-01,ofi_100ms,secondary,3,0.432731036375,0.567268963625,80193,-0.134537927251,
2024-04-01,ofi_100ms,secondary,4,0.465316640204,0.534683359796,76838,-0.0693667195919,
2024-04-01,ofi_100ms,secondary,5,0.439393537433,0.560606462567,75388,-0.121212925134,
2024-04-01,ofi_100ms,secondary,6,0.491913664132,0.508086335868,81681,-0.0161726717352,
2024-04-01,ofi_100ms,secondary,7,0.493108276491,0.506891723509,77847,-0.0137834470179,
2024-04-01,ofi_100ms,secondary,8,0.525647726424,0.474352273576,80358,0.0512954528485,
2024-04-01,ofi_100ms,secondary,9,0.554885433319,0.445114566681,82572,0.109770866638,
2024-04-01,ofi_100ms,secondary,10,0.696895639112,0.303104360888,83882,0.393791278224,
2024-05-01,microprice_deviation_bps,primary,1,0.168091035223,0.831908964777,85769,-0.663817929555,
2024-05-01,microprice_deviation_bps,primary,2,0.292051429849,0.707948570151,85009,-0.415897140303,
2024-05-01,microprice_deviation_bps,primary,3,0.380758823599,0.619241176401,84631,-0.238482352802,
2024-05-01,microprice_deviation_bps,primary,4,0.442008730508,0.557991269492,84073,-0.115982538984,
2024-05-01,microprice_deviation_bps,primary,5,0.485923269649,0.514076730351,84217,-0.0281534607027,
2024-05-01,microprice_deviation_bps,primary,6,0.532457835038,0.467542164962,84371,0.0649156700762,
2024-05-01,microprice_deviation_bps,primary,7,0.582763888724,0.417236111276,84439,0.165527777449,
2024-05-01,microprice_deviation_bps,primary,8,0.643785769801,0.356214230199,84918,0.287571539603,
2024-05-01,microprice_deviation_bps,primary,9,0.735224198705,0.264775801295,85393,0.47044839741,
2024-05-01,microprice_deviation_bps,primary,10,0.84893197121,0.15106802879,86140,0.697863942419,
2024-05-01,qi_1,primary,1,0.166162754048,0.833837245952,85663,-0.667674491904,
2024-05-01,qi_1,primary,2,0.292636937871,0.707363062129,84856,-0.414726124258,
