date,fold_id,model,signal,count,mean_future_mid_return,median_future_mid_return,p_return_gt_0,p_return_lt_0,mean_signed_future_mid_return,median_signed_future_mid_return,positive_signed_fraction
2025-06-01,12,lightgbm_extended,LONG_MINUS_SHORT,2011,7.98373964954e-05,1.95996584792e-05,,,,,
2025-07-01,13,qi_direct_baseline,SHORT,10409,-1.62780799443e-05,0,0.00297819194927,0.2520895379,1.62780799443e-05,0,0.2520895379
2025-07-01,13,qi_direct_baseline,FLAT,69131,-7.60529980853e-09,0,0.0344852526363,0.0348034890281,0,0,0
2025-07-01,13,qi_direct_baseline,LONG,6853,2.28042465978e-05,0,0.32482124617,0.00481540930979,2.28042465978e-05,0,0.32482124617
2025-07-01,13,qi_direct_baseline,LONG_MINUS_SHORT,17262,3.90823265421e-05,0,,,,,
2025-07-01,13,lightgbm_qi_ofi,SHORT,6744,-2.24283521148e-05,0,0.00548635824437,0.334519572954,2.24283521148e-05,0,0.334519572954
2025-07-01,13,lightgbm_qi_ofi,FLAT,74515,1.90367031093e-08,0,0.0358048715024,0.0370663624774,0,0,0
2025-07-01,13,lightgbm_qi_ofi,LONG,5134,2.65195739276e-05,0,0.377093883911,0.00876509544215,2.65195739276e-05,0,0.377093883911
2025-07-01,13,lightgbm_qi_ofi,LONG_MINUS_SHORT,11878,4.89479260424e-05,0,,,,,
2025-07-01,13,lightgbm_extended,SHORT,3004,-3.17223675382e-05,0,0.00699067909454,0.454061251664,3.17223675382e-05,0,0.454061251664
2025-07-01,13,lightgbm_extended,FLAT,81062,-6.22292521195e-08,0,0.0424736621352,0.0453726777035,0,0,0
2025-07-01,13,lightgbm_extended,LONG,2327,3.72374841143e-05,9.39940614465e-08,0.505801461109,0.00902449505801,3.72374841143e-05,9.39940614465e-08,0.505801461109
2025-07-01,13,lightgbm_extended,LONG_MINUS_SHORT,5331,6.89598516524e-05,9.39940614465e-08,,,,,
2025-08-01,14,qi_direct_baseline,SHORT,8482,-4.78965275965e-05,-1.2662384468e-05,0.018273991983,0.537726951191,4.78965275965e-05,1.2662384468e-05,0.537726951191
2025-08-01,14,qi_direct_baseline,FLAT,69349,-3.72431611667e-07,0,0.101702980577,0.10640384144,0,0,0
2025-08-01,14,qi_direct_baseline,LONG,8568,4.79169790757e-05,1.21604728592e-05,0.541316526611,0.0218253968254,4.79169790757e-05,1.21604728592e-05,0.541316526611
2025-08-01,14,qi_direct_baseline,LONG_MINUS_SHORT,17050,9.58135066722e-05,2.48228573272e-05,,,,,
2025-08-01,14,lightgbm_qi_ofi,SHORT,11403,-4.26704745464e-05,0,0.0237656756994,0.490572656319,4.26704745464e-05,0,0.490572656319
2025-08-01,14,lightgbm_qi_ofi,FLAT,63562,-4.09242820039e-07,0,0.0932632705075,0.0976998835782,0,0,0
2025-08-01,14,lightgbm_qi_ofi,LONG,11434,4.29465001916e-05,0,0.493877907994,0.0282490816862,4.29465001916e-05,0,0.493877907994
2025-08-01,14,lightgbm_qi_ofi,LONG_MINUS_SHORT,22837,8.5616974738e-05,0,,,,,
