comparison,left_model,right_model,latency_ms,fee_bps,gross_pnl_increment,turnover_increment,gross_pnl_bps_increment,net_pnl_increment
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,100,0.5,-59.12548655156206,-13346436.37251538,0.012794084242293696,608.196332074207
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,100,1.0,-59.12548655156206,-13346436.37251538,0.012794084242293696,1275.518150699976
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,100,2.0,-59.12548655156206,-13346436.37251538,0.012794084242293696,2610.1617879515106
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,100,5.0,-59.12548655156206,-13346436.37251538,0.012794084242293696,6614.092699706147
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,100,10.0,-59.12548655156206,-13346436.37251538,0.012794084242293696,13287.310885963845
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,250,0.0,60.45584051073547,63588758.585508466,-0.0889782761040521,60.45584051073547
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,250,0.1,60.45584051073547,63588758.585508466,-0.0889782761040521,-575.4317453443496
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,250,0.25,60.45584051073547,63588758.585508466,-0.0889782761040521,-1529.263124126976
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,250,0.5,60.45584051073547,63588758.585508466,-0.0889782761040521,-3118.9820887646874
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,250,1.0,60.45584051073547,63588758.585508466,-0.0889782761040521,-6298.420018040109
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,250,2.0,60.45584051073547,63588758.585508466,-0.0889782761040521,-12657.295876590957
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,250,5.0,60.45584051073547,63588758.585508466,-0.0889782761040521,-31733.9234522435
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,250,10.0,60.45584051073547,63588758.585508466,-0.0889782761040521,-63528.30274499775
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,250,0.0,165.37154692824788,76908413.22782958,-0.09690057715939299,165.37154692824788
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,250,0.1,165.37154692824788,76908413.22782958,-0.09690057715939299,-603.7125853500484
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,250,0.25,165.37154692824788,76908413.22782958,-0.09690057715939299,-1757.3387837674913
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,250,0.5,165.37154692824788,76908413.22782958,-0.09690057715939299,-3680.0491144632306
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,250,1.0,165.37154692824788,76908413.22782958,-0.09690057715939299,-7525.469775854708
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,250,2.0,165.37154692824788,76908413.22782958,-0.09690057715939299,-15216.31109863767
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,250,5.0,165.37154692824788,76908413.22782958,-0.09690057715939299,-38288.83506698655
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,250,10.0,165.37154692824788,76908413.22782958,-0.09690057715939299,-76743.04168090134
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,250,0.0,-104.91570641751241,-13319654.64232111,0.007922301055340891,-104.91570641751241
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,250,0.1,-104.91570641751241,-13319654.64232111,0.007922301055340891,28.280840005698792
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,250,0.25,-104.91570641751241,-13319654.64232111,0.007922301055340891,228.07565964051537
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,250,0.5,-104.91570641751241,-13319654.64232111,0.007922301055340891,561.0670256985431
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,250,1.0,-104.91570641751241,-13319654.64232111,0.007922301055340891,1227.0497578145987
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,250,2.0,-104.91570641751241,-13319654.64232111,0.007922301055340891,2559.0152220467135
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,250,5.0,-104.91570641751241,-13319654.64232111,0.007922301055340891,6554.911614743047
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,250,10.0,-104.91570641751241,-13319654.64232111,0.007922301055340891,13214.738935903588
