date,model,mode,latency_ms,fee_scenario,gross_pnl,maker_fees,taker_fees,total_fees,net_pnl,fee_burden_fraction_of_gross_pnl
2024-07-01,lightgbm_extended,market,250,market_10_00bps,4327.789911211177,0.0,206540.80406439528,206540.80406439528,-202213.0141531841,47.72431386499366
2024-07-01,lightgbm_extended,market,50,market_0_00bps,5720.895120207824,0.0,0.0,0.0,5720.895120207824,0.0
2024-07-01,lightgbm_extended,market,50,market_0_10bps,5720.895120207824,0.0,2065.1840189216414,2065.1840189216414,3655.711101286183,0.3609896660448862
2024-07-01,lightgbm_extended,market,50,market_0_25bps,5720.895120207824,0.0,5162.960047304103,5162.960047304103,557.9350729037214,0.9024741651122153
2024-07-01,lightgbm_extended,market,50,market_0_50bps,5720.895120207824,0.0,10325.920094608206,10325.920094608206,-4605.024974400381,1.8049483302244307
2024-07-01,lightgbm_extended,market,50,market_1_00bps,5720.895120207824,0.0,20651.84018921641,20651.84018921641,-14930.945069008587,3.6098966604488614
2024-07-01,lightgbm_extended,market,50,market_2_00bps,5720.895120207824,0.0,41303.68037843282,41303.68037843282,-35582.785258225,7.219793320897723
2024-07-01,lightgbm_extended,market,50,market_5_00bps,5720.895120207824,0.0,103259.20094608206,103259.20094608206,-97538.30582587424,18.049483302244305
2024-07-01,lightgbm_extended,market,50,market_10_00bps,5720.895120207824,0.0,206518.4018921641,206518.4018921641,-200797.50677195628,36.09896660448861
2024-07-01,lightgbm_qi_ofi,market,0,market_0_00bps,5550.258410920898,0.0,0.0,0.0,5550.258410920898,0.0
2024-07-01,lightgbm_qi_ofi,market,0,market_0_10bps,5550.258410920898,0.0,2198.5008070557387,2198.5008070557387,3351.7576038651596,0.39610782855261034
2024-07-01,lightgbm_qi_ofi,market,0,market_0_25bps,5550.258410920898,0.0,5496.252017639346,5496.252017639346,54.00639328155194,0.9902695713815258
2024-07-01,lightgbm_qi_ofi,market,0,market_0_50bps,5550.258410920898,0.0,10992.504035278693,10992.504035278693,-5442.245624357794,1.9805391427630517
2024-07-01,lightgbm_qi_ofi,market,0,market_1_00bps,5550.258410920898,0.0,21985.008070557386,21985.008070557386,-16434.749659636487,3.9610782855261033
